# cobo asad aget ch glob lsb
0 2 0 56 2 15
0 2 0 57 2 15
0 2 0 58 2 15
0 2 0 59 2 15
0 2 0 60 2 15
0 2 0 61 2 15
0 2 0 62 2 15
0 2 0 63 2 15
0 2 0 64 2 15
0 2 0 65 2 15
0 2 0 66 2 15
0 2 0 67 2 15
0 2 1 0 2 2
0 2 1 1 2 0
0 2 1 2 2 0
0 2 1 3 2 0
0 2 1 4 2 0
0 2 1 5 2 1
0 2 1 6 2 0
0 2 1 7 2 0
0 2 1 8 2 0
0 2 1 9 2 0
0 2 1 10 2 0
0 2 1 11 2 0
0 2 1 12 2 0
0 2 1 13 2 1
0 2 1 14 2 1
0 2 1 15 2 1
0 2 1 16 2 1
0 2 1 17 2 1
0 2 1 18 2 2
0 2 1 19 2 2
0 2 1 20 2 2
0 2 1 21 2 1
0 2 1 22 2 15
0 2 1 23 2 1
0 2 1 24 2 1
0 2 1 25 2 1
0 2 1 26 2 15
0 2 1 27 2 15
0 2 1 28 2 15
0 2 1 29 2 0
0 2 1 30 2 15
0 2 1 31 2 15
0 2 1 32 2 15
0 2 1 33 2 15
0 2 1 34 2 15
0 2 1 35 2 15
0 2 1 36 2 15
0 2 1 37 2 15
0 2 1 38 2 15
0 2 1 39 2 15
0 2 1 40 2 15
0 2 1 41 2 15
0 2 1 42 2 15
0 2 1 43 2 15
0 2 1 44 2 15
0 2 1 45 2 15
0 2 1 46 2 15
0 2 1 47 2 15
0 2 1 48 2 15
0 2 1 49 2 15
0 2 1 50 2 15
0 2 1 51 2 15
0 2 1 52 2 15
0 2 1 53 2 15
0 2 1 54 2 15
0 2 1 55 2 15
0 2 1 56 2 15
0 2 1 57 2 15
0 2 1 58 2 15
0 2 1 59 2 15
0 2 1 60 2 15
0 2 1 61 2 15
0 2 1 62 2 15
0 2 1 63 2 15
0 2 1 64 2 15
0 2 1 65 2 15
0 2 1 66 2 15
0 2 1 67 2 15
0 2 2 0 2 0
0 2 2 1 2 0
0 2 2 2 2 1
0 2 2 3 2 1
0 2 2 4 2 1
0 2 2 5 2 1
0 2 2 6 2 1
0 2 2 7 2 1
0 2 2 8 2 0
0 2 2 9 2 0
0 2 2 10 2 2
0 2 2 11 2 15
0 2 2 12 2 2
0 2 2 13 2 2
0 2 2 14 2 2
